"h","","move cursor left","Movement"
"j","","move cursor down","Movement"
"k","","move cursor up","Movement"
"l","","move cursor right","Movement"
"w","","jump forwards to the start of a word","Movement"
"W","","jump forwards to the start of a word (words can contain punctuation)","Movement"
"e","","jump forwards to the end of a word","Movement"
"E","","jump forwards to the end of a word (words can contain punctuation)","Movement"
"b","","jump backwards to the start of a word","Movement"
"B","","jump backwards to the start of a word (words can contain punctuation)","Movement"
"0","","jump to the start of the line","Movement"
"^","","jump to the first non-blank character of the line","Movement"
"$","","jump to the end of the line","Movement"
"G","","go to the last line of the document","Movement"
"5G","","go to line 5","Movement"
"i","","insert before the cursor","Insert"
"I","","insert at the beginning of the line","Insert"
"a","","insert (append) after the cursor","Insert"
"A","","insert (append) at the end of the line","Insert"
"o","","append (open) a new line below the current line","Insert"
"O","","append (open) a new line above the current line","Insert"
"ea","","insert (append) at the end of the word","Insert"
"Esc","","exit insert mode","Insert"
"r","","replace a single character","Editing"
"J","","join line below to the current one","Editing"
"cc","","change (replace) entire line","Editing"
"cw","","change (replace) to the end of the word","Editing"
"c$","","change (replace) to the end of the line","Editing"
"s","","delete character and substitute text","Editing"
"S","","delete line and substitute text (same as cc)","Editing"
"xp","","transpose two letters (delete and paste)","Editing"
"u","","undo","Editing"
"Ctrl + r","","redo","Editing"
".","","repeat last command","Editing"
"v","","start visual mode, mark lines, then do a command (like y-yank)","Selection"
"V","","start linewise visual mode","Selection"
"o","","move to other end of marked area","Selection"
"Ctrl + v","","start visual block mode","Selection"
"O","","move to other corner of block","Selection"
"aw","","mark a word","Selection"
"ab","","a block with ()","Selection"
"aB","","a block with {}","Selection"
"ib","","inner block with ()","Selection"
"iB","","inner block with {}","Selection"
"Esc","","exit visual mode","Selection"
">","","shift text right","Visual"
"<","","shift text left","Visual"
"y","","yank (copy) marked text","Visual"
"d","","delete marked text","Visual"
"~","","switch case","Visual"
"yy","","yank (copy) a line","Cut and paste"
"2yy","","yank (copy) 2 lines","Cut and paste"
"yw","","yank (copy) word","Cut and paste"
"y$","","yank (copy) to end of line","Cut and paste"
"p","","put (paste) the clipboard after cursor","Cut and paste"
"P","","put (paste) before cursor","Cut and paste"
"dd","","delete (cut) a line","Cut and paste"
"2dd","","delete (cut) 2 lines","Cut and paste"
"dw","","delete (cut) word","Cut and paste"
"D","","delete (cut) to the end of the line","Cut and paste"
"d$","","delete (cut) to the end of the line","Cut and paste"
"x","","delete (cut) character","Cut and paste"
":w","","write (save) the file, but don't exit","Exiting"
":wq","","write (save) and quit","Exiting"
":x","","write (save) and quit","Exiting"
":ZZ","","write (save) and quit","Exiting"
":q","","quit (fails if there are unsaved changes)","Exiting"
":q!","","quit and throw away unsaved changes","Exiting"
"ZQ","","quit and throw away unsaved changes","Exiting"
"/pattern","","search for pattern","Search"
"?pattern","","search backward for pattern","Search"
"n","","repeat search in same direction","Search"
"N","","repeat search in opposite direction","Search"
":s/old/new/g","","replace all old with new throughout file","Search"
":s/old/new/gc","","replace all old with new throughout file with confirmations","Search"
":e filename","","edit a file in a new buffer","Files"
":bnext","","go to the next buffer","Files"
":bn","","go to the next buffer","Files"
":bprev","","go to the previous buffer","Files"
":bp","","go to the previous buffer","Files"
":bd","","delete a buffer (close a file)","Files"
":sp filename","","open a file in a new buffer and split window","Files"
":vsp filename","","open a file in a new buffer and vertically split window","Files"
"Ctrl + ws","","split window","Files"
"Ctrl + ww","","switch windows","Files"
"Ctrl + wq","","quit a window","Files"
"Ctrl + wv","","split window vertically","Files"
"Ctrl + wh","","move cursor to the left window (vertical split)","Files"
"Ctrl + wl","","move cursor to the right window (vertical split)","Files"
"Ctrl + wj","","move cursor to the window below (horizontal split)","Files"
"Ctrl + wk","","move cursor to the window above (horizontal split)","Files"
":tabnew {file}","","open a file in a new tab","Tabs"
":tabn {file}","","open a file in a new tab","Tabs"
"Ctrl + wT","","move the current split window into its own tab","Tabs"
"gt","","move to the next tab","Tabs"
":tabnext","","move to the next tab","Tabs"
":tabn","","move to the next tab","Tabs"
"gT","","move to the previous tab","Tabs"
"#gt","","move to tab number #","Tabs"
":tabmove #","","move current tab to the #th position (indexed from 0)","Tabs"
":tabclose","","close the current tab and all its windows","Tabs"
":tabc","","close the current tab and all its windows","Tabs"
":tabonly","","close all tabs except for the current one","Tabs"
":tabo","","close all tabs except for the current one","Tabs"